V_G,V_D,I_D1,I_D2,I_D3,I_D4,I_D5,I_D6,I_D7,I_D8,I_D9,I_D10,I_D11
,6.6,0.4,1.8,4.9,10,17.1,25.3,33.3,39.8,44.4,47.8,50
,6.7,0.4,1.8,4.8,10,17.1,25.4,33.5,40.2,44.9,48.2,50
,6.8,0.4,1.8,4.9,10,17.2,25.7,33.8,40.5,45.3,48.6,50
,6.9,0.4,1.8,4.9,10.1,17.3,25.8,34.1,40.8,45.7,49.1,50
,7,0.4,1.9,4.9,10.1,17.4,26,34.3,41.2,46.1,49.5,50
,7.1,0.4,1.8,4.9,10.1,17.5,26.1,34.5,41.5,46.5,50,50
,7.2,0.4,1.8,4.9,10.2,17.6,26.3,34.8,41.8,46.8,50,50
,7.3,0.4,1.8,5,10.2,17.6,26.4,35.1,42.1,47.2,50,50
,7.4,0.4,1.8,5,10.3,17.7,26.5,35.3,42.5,47.6,50,50
,7.5,0.4,1.8,4.9,10.2,17.8,26.7,35.6,42.8,47.9,50,50
,7.6,0.4,1.8,5,10.3,17.8,26.9,35.8,43.1,48.3,50,50
,7.7,0.4,1.8,5,10.3,17.9,27,36,43.4,48.7,50,50
,7.8,0.5,1.8,5,10.3,18,27.1,36.2,43.7,49,50,50
,7.9,0.5,1.8,5,10.4,18.1,27.3,36.5,44,49.4,50,50
,8,0.4,1.9,5,10.4,18.1,27.5,36.7,44.3,50,50,50
,8.1,0.4,1.8,5,10.4,18.2,27.6,36.9,44.6,50,50,50
,8.2,0.5,1.8,5.1,10.4,18.3,27.7,37.2,44.9,50,50,50
,8.3,0.4,1.8,5,10.5,18.3,27.8,37.3,45.2,50,50,50
,8.4,0.4,1.9,5,10.5,18.4,27.9,37.6,45.5,50,50,50
,8.5,0.4,1.9,5,10.5,18.4,28.1,37.8,45.8,50,50,50
,8.6,0.4,1.8,5,10.5,18.5,28.2,38,46.1,50,50,50
,8.7,0.4,1.9,5,10.6,18.5,28.4,38.2,46.4,50,50,50
,8.8,0.4,1.9,5,10.6,18.6,28.5,38.4,46.7,50,50,50
,8.9,0.4,1.9,5.1,10.6,18.7,28.6,38.7,46.9,50,50,50
,9,0.4,1.9,5.1,10.6,18.7,28.7,38.8,47.2,50,50,50
,9.1,0.4,1.8,5.1,10.6,18.8,28.8,39,47.4,50,50,50
,9.2,0.4,1.9,5.1,10.7,18.9,29,39.3,47.7,50,50,50
,9.3,0.4,1.9,5,10.7,18.9,29.1,39.4,48,50,50,50
,9.4,0.4,1.9,5.1,10.7,18.9,29.2,39.6,48.2,50,50,50
,9.5,0.5,1.9,5.1,10.7,19,29.3,39.8,48.5,50,50,50
,9.6,0.5,1.8,5.1,10.7,19.1,29.4,40.1,48.8,50,50,50
,9.7,0.5,1.8,5.1,10.8,19.1,29.6,40.2,49,50,50,50
,9.8,0.5,1.9,5.1,10.8,19.2,29.7,40.4,49.3,50,50,50
,9.9,0.5,1.8,5.1,10.8,19.2,29.8,40.6,49.6,50,50,50
,10,0.5,1.9,5.2,10.8,19.3,29.9,40.8,50,50,50,50
,10.1,0.5,1.9,5.1,10.9,19.3,30,41,50,50,50,50
,10.2,0.5,1.9,5.1,10.8,19.3,30.1,41.2,50,50,50,50
,10.3,0.4,1.8,5.1,10.9,19.4,30.2,41.3,50,50,50,50
,10.4,0.4,1.9,5.2,10.9,19.4,30.3,41.6,50,50,50,50
,10.5,0.5,1.9,5.1,10.9,19.5,30.5,41.8,50,50,50,50
,10.6,0.4,1.9,5.1,10.9,19.6,30.5,41.9,50,50,50,50
,10.7,0.4,1.9,5.2,10.9,19.6,30.7,42.1,50,50,50,50
,10.8,0.4,1.9,5.2,11,19.7,30.7,42.3,50,50,50,50
,10.9,0.4,1.9,5.1,10.9,19.7,30.9,42.5,50,50,50,50
,11,0.4,1.9,5.1,11,19.8,31,42.6,50,50,50,50
,11.1,0.4,1.9,5.2,11.1,19.8,31.1,42.8,50,50,50,50
,11.2,0.4,1.9,5.2,11,19.9,31.2,43,50,50,50,50
,11.3,0.4,1.9,5.2,11,19.9,31.3,43.2,50,50,50,50
,11.4,0.4,1.9,5.2,11.1,19.9,31.4,43.4,50,50,50,50
,11.5,0.4,1.9,5.2,11.1,20,31.5,43.5,50,50,50,50
,11.6,0.4,1.9,5.2,11.1,20,31.6,43.7,50,50,50,50
,11.7,0.4,1.9,5.2,11.1,20.1,31.8,43.9,50,50,50,50
,11.8,0.5,1.9,5.2,11.1,20.1,31.8,44,50,50,50,50
,11.9,0.5,1.9,5.2,11.1,20.2,31.9,44.2,50,50,50,50
,12,0.4,1.9,5.2,11.2,20.2,32,44.4,50,50,50,50
,12.1,0.4,1.9,5.3,11.2,20.3,32.1,44.5,50,50,50,50
,12.2,0.4,1.9,5.2,11.2,20.3,32.2,44.8,50,50,50,50
,12.3,0.4,1.9,5.2,11.2,20.3,32.3,44.9,50,50,50,50
,12.4,0.4,1.9,5.2,11.2,20.4,32.4,45,50,50,50,50
,12.5,0.5,2,5.3,11.2,20.4,32.5,45.2,50,50,50,50
,12.6,0.4,1.9,5.3,11.2,20.5,32.6,45.4,50,50,50,50
,12.7,0.5,1.9,5.2,11.3,20.5,32.7,45.6,50,50,50,50
,12.8,0.5,1.9,5.2,11.3,20.6,32.8,45.7,50,50,50,50
,12.9,0.4,1.9,5.3,11.3,20.6,32.9,45.9,50,50,50,50
,13,0.4,1.9,5.2,11.3,20.7,33,46.1,50,50,50,50
,13.1,0.5,1.9,5.2,11.3,20.7,33.1,46.2,50,50,50,50
,13.2,0.5,1.9,5.3,11.3,20.7,33.3,46.4,50,50,50,50
,13.3,0.5,1.9,5.3,11.3,20.7,33.3,46.6,50,50,50,50
,13.4,0.5,1.9,5.3,11.4,20.8,33.4,46.7,50,50,50,50
,13.5,0.5,2,5.3,11.4,20.9,33.5,46.9,50,50,50,50
,13.6,0.5,1.9,5.3,11.4,20.9,33.6,47,50,50,50,50
,13.7,0.5,1.9,5.3,11.4,21,33.7,47.2,50,50,50,50
,13.8,0.5,1.9,5.3,11.4,21,33.8,47.3,50,50,50,50
,13.9,0.4,1.9,5.3,11.4,21,33.8,47.5,50,50,50,50
,14,0.4,2,5.3,11.4,21,33.9,47.6,50,50,50,50
,14.1,0.4,1.9,5.3,11.5,21.1,34,47.8,50,50,50,50
,14.2,0.4,1.9,5.3,11.5,21.2,34.1,47.9,50,50,50,50
,14.3,0.4,1.9,5.3,11.5,21.2,34.2,48.1,50,50,50,50
,14.4,0.4,1.9,5.3,11.5,21.2,34.3,48.3,50,50,50,50
,14.5,0.4,1.9,5.3,11.5,21.3,34.4,48.4,50,50,50,50
,14.6,0.4,1.9,5.4,11.5,21.3,34.6,48.6,50,50,50,50
,14.7,0.4,1.9,5.4,11.6,21.4,34.6,48.7,50,50,50,50
,14.8,0.4,1.9,5.3,11.6,21.5,34.7,48.8,50,50,50,50
,14.9,0.4,1.9,5.3,11.6,21.5,34.8,49,50,50,50,50
,15,0.5,1.9,5.3,11.6,21.4,34.9,49.2,50,50,50,50
,15.1,0.4,2,5.4,11.6,21.5,35,49.3,50,50,50,50
,15.2,0.5,1.9,5.3,11.7,21.6,35.1,49.4,50,50,50,50
,15.3,0.5,1.9,5.3,11.7,21.6,35.2,49.6,50,50,50,50
,15.4,0.5,1.9,5.4,11.7,21.7,35.3,49.8,50,50,50,50
,15.5,0.4,2,5.4,11.7,21.7,35.3,50,50,50,50,50
,15.6,0.5,2,5.4,11.7,21.8,35.4,50,50,50,50,50
,15.7,0.5,1.9,5.4,11.7,21.8,35.5,50,50,50,50,50
,15.8,0.4,1.9,5.4,11.7,21.9,35.7,50,50,50,50,50
,15.9,0.4,2,5.4,11.7,21.9,35.7,50,50,50,50,50
,16,0.4,1.9,5.4,11.8,21.9,35.8,50,50,50,50,50
,16.1,0.4,2,5.4,11.8,21.9,35.9,50,50,50,50,50
,16.2,0.4,1.9,5.4,11.8,22,36,50,50,50,50,50
